Province,Longitude,Latitude
Bakhmut, 48.5716, 37.6995
Kyiv, 50.4501, 30.5234
Cherkasy, 49.4448, 32.0598
Chernihiv, 51.5055, 31.2849
Chernivtsi, 48.2917, 25.9403
Chernobyl, 51.2763, 30.2215
Dnipro, 48.4647, 35.0462
Donetsk, 48.0159, 37.8028
Ivano-Frankivsk, 48.9226, 24.7111
Kharkiv, 49.9935, 36.2304
Kherson, 46.6354, 32.6169
Khmelnytskyi, 49.4216, 27.0019
Kirovohrad, 48.5132, 32.2597
Luhansk, 48.574, 39.3078
Lviv, 49.8397, 24.0297
Mykolaiv, 46.9764, 31.9946
Odessa, 46.4694, 30.7409
Poltava, 49.5883, 34.5514
Rivne, 50.6199, 26.2516
Sumy, 50.9077, 34.7984
Ternopil, 49.5535, 25.5948
Vinnytsia, 49.2331, 28.4682
Zaporizhzhia, 47.8388, 35.1396
Zhytomyr, 50.2547, 28.6587
Izmail, 45.3479, 28.8402
Bilhorod-Dnistrovskyi, 46.1823, 30.3355
Kotovsk, 47.7472, 29.5322
Kryvyi Rih, 47.9084, 33.3809
Lutsk, 50.7593, 25.3424
Mukachevo, 48.4432, 22.7149
Kremenchuk, 49.0753, 33.4239
Sevastopol, 44.6166, 33.5254
Simferopol, 44.9521, 34.1024
Uzhhorod, 48.6208, 22.2879
